기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_률,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20252,11260,중랑구,CS300010,반찬가게,310.0,310.0,3.9,12.0,2.9,9.0,0.0
20252,11215,광진구,CS100002,중식음식점,249.0,277.0,5.8,16.0,2.5,7.0,28.0
20252,11260,중랑구,CS300020,서적,106.0,109.0,0.9,1.0,3.7,4.0,3.0
20252,11260,중랑구,CS300035,인테리어,151.0,151.0,1.3,2.0,2.6,4.0,0.0
20252,11215,광진구,CS100007,치킨전문점,81.0,226.0,3.5,8.0,6.6,15.0,145.0
20252,11215,광진구,CS200013,기타법무서비스,48.0,48.0,0.0,0.0,0.0,0.0,0.0
20252,11260,중랑구,CS300042,주유소,29.0,29.0,0.0,0.0,3.4,1.0,0.0
20252,11290,성북구,CS100001,한식음식점,1639.0,1891.0,3.2,61.0,3.7,70.0,252.0
20252,11290,성북구,CS100003,일식음식점,143.0,166.0,1.8,3.0,6.0,10.0,23.0
20252,11290,성북구,CS100005,제과점,163.0,237.0,2.5,6.0,4.2,10.0,74.0
20252,11215,광진구,CS200019,PC방,65.0,71.0,1.4,1.0,4.2,3.0,6.0
20252,11290,성북구,CS100008,분식전문점,358.0,465.0,4.3,20.0,4.1,19.0,107.0
20252,11290,성북구,CS200004,컴퓨터학원,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20252,11215,광진구,CS200023,통신기기수리,24.0,24.0,4.2,1.0,0.0,0.0,0.0
20252,11290,성북구,CS200005,스포츠 강습,323.0,332.0,4.2,14.0,3.3,11.0,9.0
20252,11290,성북구,CS200006,일반의원,295.0,295.0,0.7,2.0,0.7,2.0,0.0
20252,11215,광진구,CS200025,자동차수리,136.0,157.0,2.5,4.0,1.3,2.0,21.0
20252,11215,광진구,CS200033,부동산중개업,1236.0,1238.0,0.1,1.0,1.9,24.0,2.0
20252,11215,광진구,CS200040,녹음실,27.0,27.0,0.0,0.0,0.0,0.0,0.0
20252,11290,성북구,CS200018,볼링장,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20252,11290,성북구,CS200026,자동차미용,53.0,61.0,0.0,0.0,3.3,2.0,8.0
20252,11290,성북구,CS200027,모터사이클수리,35.0,37.0,0.0,0.0,0.0,0.0,2.0
20252,11290,성북구,CS200031,세탁소,213.0,255.0,2.4,6.0,2.7,7.0,42.0
20252,11215,광진구,CS200043,건축물청소,237.0,240.0,0.8,2.0,0.4,1.0,3.0
20252,11290,성북구,CS200040,녹음실,23.0,23.0,0.0,0.0,0.0,0.0,0.0
20252,11290,성북구,CS200043,건축물청소,185.0,189.0,0.0,0.0,2.1,4.0,4.0
20252,11290,성북구,CS200045,비디오/서적임대,10.0,11.0,0.0,0.0,0.0,0.0,1.0
20252,11290,성북구,CS300004,핸드폰,194.0,194.0,0.0,0.0,2.6,5.0,0.0
20252,11215,광진구,CS200045,비디오/서적임대,10.0,11.0,0.0,0.0,0.0,0.0,1.0
