,기준_년분기_코드,자치구_코드_명,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00_06_매출_금액,시간대_06_11_매출_금액,시간대_11_14_매출_금액,시간대_14_17_매출_금액,시간대_17_21_매출_금액,시간대_21_24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
38380,20213,성동구,시계및귀금속,1249951919.0,4075.0,359448536.0,157328090.0,192135024.0,204762393.0,206877147.0,103864634.0,25536095.0,0.0,27271112.0,189940339.0,632398646.0,388499226.0,11842596.0,692867908.0,556562258.0,53373.0,72846322.0,91177871.0,355105228.0,575234736.0,155012635.0,496.0,479.0,696.0,708.0,1067.0,543.0,86.0,0.0,414.0,931.0,1369.0,1343.0,18.0,1826.0,2208.0,18.0,454.0,445.0,894.0,1236.0,986.0
38360,20213,중구,분식전문점,17017961064.0,1619199.0,2444669579.0,2638656851.0,2728321939.0,3139230652.0,2957990956.0,1849819765.0,1259271322.0,144312232.0,1859933416.0,7341909002.0,2513784498.0,4392335808.0,765686108.0,7538876624.0,6874634486.0,118988285.0,2864224071.0,4037881062.0,3752112646.0,2531120476.0,1109184571.0,241718.0,259145.0,265440.0,307744.0,286511.0,161494.0,97147.0,12729.0,299345.0,650633.0,228045.0,376025.0,52422.0,736009.0,771065.0,12741.0,330005.0,437137.0,365750.0,255721.0,105728.0
38382,20213,성동구,반찬가게,2057776003.0,63920.0,184383859.0,121457187.0,628251296.0,740940392.0,158359030.0,154273808.0,70110431.0,0.0,507996808.0,201427634.0,797109440.0,526051591.0,25190530.0,428744454.0,1278839344.0,5713657.0,34622596.0,86805849.0,321102568.0,382662948.0,876676178.0,12589.0,8182.0,8814.0,10323.0,9815.0,9362.0,4835.0,0.0,12125.0,14734.0,12519.0,22645.0,1897.0,26919.0,34130.0,465.0,3557.0,7021.0,10846.0,19580.0,19579.0
38452,20213,서대문구,전자상거래업,1000000.0,2.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805930.0,194070.0,0.0,0.0,549865.0,450135.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
38451,20213,서대문구,당구장,572520366.0,39846.0,73029746.0,62198562.0,68576826.0,68264615.0,74805752.0,117360220.0,108284645.0,4735256.0,8235064.0,33102378.0,97768284.0,303620457.0,125058927.0,532130591.0,36760297.0,13101777.0,50260299.0,33736646.0,100998195.0,256079997.0,114713974.0,5558.0,4697.0,4742.0,4618.0,5585.0,7633.0,7013.0,86.0,160.0,2862.0,7379.0,21140.0,8219.0,36907.0,2754.0,1298.0,4442.0,2736.0,6957.0,16295.0,7931.0
38450,20213,서대문구,세탁소,519227643.0,40775.0,78427192.0,61785500.0,105160625.0,91070248.0,78041262.0,97894853.0,6847963.0,1536344.0,82668016.0,116172370.0,142908400.0,167652359.0,8290154.0,255191032.0,222384570.0,2561742.0,70672904.0,121267615.0,109879377.0,127779697.0,45414274.0,5937.0,5290.0,7522.0,6223.0,6634.0,8561.0,608.0,530.0,5931.0,9374.0,10411.0,13477.0,1052.0,23737.0,16597.0,194.0,8790.0,8909.0,10601.0,8766.0,3066.0
38449,20213,서대문구,반찬가게,4155091924.0,153863.0,508946369.0,828950518.0,581361946.0,484483368.0,1023469974.0,519001963.0,208877786.0,0.0,632768573.0,708601884.0,1286101068.0,1473912639.0,53707760.0,1534082737.0,1941152764.0,551848.0,139930055.0,420928694.0,569408925.0,898863455.0,1445552527.0,25583.0,19119.0,23839.0,26143.0,20575.0,24517.0,14087.0,0.0,15896.0,39272.0,43093.0,52793.0,2809.0,61216.0,88636.0,86.0,10147.0,13014.0,33228.0,45332.0,48041.0
38448,20213,서대문구,스포츠 강습,1561804027.0,6562.0,324284370.0,301229873.0,228387065.0,334704305.0,341351514.0,21818253.0,10028647.0,1874235.0,85611371.0,221140865.0,316842777.0,840566250.0,95768529.0,631440647.0,906148322.0,3896896.0,265396136.0,378642122.0,610501639.0,219712311.0,59439866.0,1444.0,1106.0,1009.0,1333.0,1519.0,128.0,23.0,5.0,272.0,853.0,1459.0,3500.0,473.0,2859.0,3678.0,25.0,1011.0,1479.0,2991.0,883.0,147.0
38447,20213,서대문구,한의원,3988587953.0,149574.0,701274644.0,589395648.0,643782003.0,549631874.0,661606369.0,747384625.0,95512790.0,0.0,455419869.0,1375658491.0,1255934609.0,886246494.0,15328490.0,1367395796.0,2597267739.0,2829476.0,176054127.0,592516923.0,760326853.0,1232909587.0,1200026570.0,26321.0,22822.0,21992.0,23680.0,28085.0,22845.0,3829.0,0.0,23926.0,47040.0,43536.0,34916.0,156.0,69708.0,79795.0,264.0,8364.0,14083.0,23583.0,40126.0,63086.0
38446,20213,서대문구,핸드폰,1122080242.0,48207.0,223092281.0,415209961.0,55539382.0,115114646.0,189127196.0,109659487.0,14337289.0,0.0,37382168.0,106968899.0,158217747.0,819511428.0,0.0,766694384.0,351483605.0,6700373.0,74617062.0,104101525.0,132646859.0,566377610.0,233734560.0,7494.0,8576.0,7329.0,7958.0,9041.0,6563.0,1246.0,0.0,3582.0,9680.0,14971.0,19974.0,0.0,24692.0,23203.0,1557.0,7202.0,6624.0,7737.0,14021.0,10754.0
38445,20213,서대문구,고시원,46338096.0,141.0,528103.0,16488550.0,5492267.0,4805734.0,0.0,2534892.0,16488550.0,0.0,2218031.0,27103412.0,528103.0,16488550.0,0.0,16488550.0,29849546.0,0.0,13360996.0,32977100.0,0.0,0.0,0.0,5.0,55.0,11.0,10.0,0.0,5.0,55.0,0.0,5.0,76.0,5.0,55.0,0.0,55.0,86.0,0.0,31.0,110.0,0.0,0.0,0.0
38444,20213,서대문구,분식전문점,6492744190.0,616096.0,886033692.0,862464503.0,895252878.0,1050781504.0,1013509205.0,1090202002.0,694500406.0,35900085.0,612083337.0,2272456392.0,1168274222.0,2047462651.0,356567503.0,2740581797.0,3093229631.0,121733208.0,1559917308.0,1215696069.0,1340947733.0,1159339484.0,436177636.0,84244.0,86378.0,86548.0,106255.0,96862.0,91269.0,64540.0,3021.0,66257.0,203299.0,113826.0,199325.0,30368.0,263633.0,336010.0,14231.0,173911.0,124764.0,130123.0,110937.0,45663.0
38443,20213,서대문구,중식음식점,6875979941.0,262839.0,747564056.0,819263861.0,922815113.0,1062116369.0,1051338145.0,1193402563.0,1079479834.0,13593865.0,39010431.0,2610308179.0,1224415545.0,2699353569.0,289298352.0,3470320503.0,2506719206.0,82137775.0,1523839029.0,1184584110.0,1168553139.0,1227876700.0,790048964.0,31583.0,34201.0,36800.0,42174.0,41841.0,39651.0,36589.0,701.0,1935.0,110841.0,48011.0,94511.0,6840.0,136662.0,107785.0,5767.0,70896.0,45182.0,46191.0,47726.0,28678.0
38442,20213,서대문구,일반의류,8549715141.0,132500.0,1140344640.0,921497289.0,1061516569.0,1373884114.0,1417900336.0,1590777603.0,1043794590.0,0.0,195755449.0,1548682940.0,2775615589.0,3808357947.0,221303216.0,2262264553.0,6208965631.0,94438770.0,2006888875.0,1352090417.0,1468656205.0,1624405016.0,1924750901.0,16196.0,16137.0,18308.0,21340.0,20293.0,24171.0,16055.0,0.0,3016.0,26313.0,43811.0,54991.0,4369.0,32468.0,99623.0,3497.0,43374.0,20376.0,16276.0,24326.0,24242.0
38441,20213,서대문구,노래방,520078418.0,62638.0,56732050.0,72707793.0,64663932.0,66067045.0,65260105.0,111664896.0,82982597.0,1423459.0,4482361.0,20472721.0,58821459.0,285213705.0,149664713.0,354548459.0,155134144.0,31246398.0,173219267.0,65973205.0,59033609.0,118638425.0,61672365.0,7444.0,7719.0,8105.0,8306.0,9129.0,11538.0,10397.0,21.0,274.0,4235.0,13163.0,36037.0,8908.0,35980.0,26582.0,9741.0,37558.0,7371.0,2667.0,4084.0,1146.0
38440,20213,서대문구,커피-음료,15693810843.0,2198436.0,2069540043.0,2131278980.0,2266261481.0,2551644594.0,2399105082.0,2326869236.0,1949111427.0,15927816.0,1894051905.0,5010376522.0,4486574226.0,3853059591.0,433820783.0,5659855265.0,9145021861.0,346299701.0,6181091985.0,3421418962.0,2228494781.0,1978934304.0,648637391.0,303890.0,306167.0,327657.0,364969.0,343188.0,301434.0,251131.0,858.0,378947.0,680853.0,592134.0,490521.0,55123.0,853198.0,1294497.0,53293.0,950644.0,493366.0,299447.0,265978.0,84973.0
