,기준_년분기_코드,자치구_코드_명,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_률,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
10214,20242,관악구,볼링장,1.0,1.0,0.0,0.0,0.0,0.0,0.0
10215,20242,관악구,의료기기,109.0,110.0,1.8,2.0,1.8,2.0,1.0
10168,20242,구로구,회계사사무소,57.0,57.0,0.0,0.0,0.0,0.0,0.0
10249,20242,송파구,분식전문점,579.0,819.0,4.4,36.0,2.8,23.0,240.0
10170,20242,구로구,피부관리실,281.0,290.0,5.9,17.0,1.4,4.0,9.0
10171,20242,구로구,의약품,295.0,314.0,1.6,5.0,1.6,5.0,19.0
10172,20242,구로구,서적,182.0,186.0,1.1,2.0,2.2,4.0,4.0
10157,20242,강서구,편의점,157.0,540.0,3.3,18.0,4.6,25.0,383.0
10158,20242,강서구,미곡판매,94.0,94.0,0.0,0.0,0.0,0.0,0.0
10159,20242,강서구,반찬가게,556.0,575.0,3.8,22.0,3.5,20.0,19.0
10176,20242,금천구,피부관리실,144.0,147.0,4.8,7.0,1.4,2.0,3.0
10257,20242,송파구,예술품,69.0,69.0,0.0,0.0,0.0,0.0,0.0
10242,20242,강남구,의료기기,405.0,406.0,2.2,9.0,1.0,4.0,1.0
10243,20242,강남구,기타법무서비스,374.0,374.0,0.0,0.0,0.8,3.0,0.0
10244,20242,강남구,가구,513.0,514.0,1.8,9.0,2.3,12.0,1.0
10229,20242,서초구,가방,182.0,183.0,1.6,3.0,1.6,3.0,1.0
10230,20242,서초구,서적,287.0,294.0,1.4,4.0,1.4,4.0,7.0
10231,20242,서초구,섬유제품,240.0,241.0,0.0,0.0,0.8,2.0,1.0
10248,20242,강남구,자동차부품,286.0,286.0,0.0,0.0,1.7,5.0,0.0
10201,20242,동작구,변호사사무소,23.0,23.0,0.0,0.0,4.3,1.0,0.0
10250,20242,송파구,골프연습장,186.0,200.0,3.0,6.0,2.5,5.0,14.0
10251,20242,송파구,여관,124.0,127.0,7.9,10.0,5.5,7.0,3.0
10252,20242,송파구,독서실,199.0,238.0,5.5,13.0,5.5,13.0,39.0
10237,20242,강남구,비디오/서적임대,12.0,14.0,0.0,0.0,0.0,0.0,2.0
10238,20242,강남구,가정용품임대,98.0,98.0,0.0,0.0,3.1,3.0,0.0
10239,20242,강남구,슈퍼마켓,439.0,761.0,5.1,39.0,3.3,25.0,322.0
10256,20242,송파구,화장품,982.0,1036.0,0.2,2.0,2.1,22.0,54.0
10145,20242,양천구,복권방,40.0,40.0,0.0,0.0,10.0,4.0,0.0
10194,20242,영등포구,편의점,171.0,492.0,5.3,26.0,3.9,19.0,321.0
10195,20242,영등포구,수산물판매,198.0,199.0,0.0,0.0,1.5,3.0,1.0
10196,20242,영등포구,안경,100.0,128.0,1.6,2.0,0.8,1.0,28.0
10181,20242,금천구,섬유제품,89.0,89.0,0.0,0.0,2.2,2.0,0.0
10182,20242,금천구,인테리어,141.0,141.0,4.3,6.0,1.4,2.0,0.0
10183,20242,금천구,자동차부품,150.0,150.0,0.0,0.0,0.7,1.0,0.0
10136,20242,양천구,일식음식점,127.0,159.0,3.1,5.0,5.7,9.0,32.0
10217,20242,관악구,섬유제품,62.0,62.0,1.6,1.0,3.2,2.0,0.0
10138,20242,양천구,제과점,207.0,273.0,2.9,8.0,3.7,10.0,66.0
10139,20242,양천구,패스트푸드점,78.0,209.0,2.4,5.0,7.2,15.0,131.0
10140,20242,양천구,치킨전문점,96.0,261.0,2.7,7.0,6.5,17.0,165.0
10125,20242,마포구,동물병원,51.0,51.0,3.9,2.0,2.0,1.0,0.0
10126,20242,마포구,기타법무서비스,126.0,126.0,0.0,0.0,0.0,0.0,0.0
10127,20242,마포구,피부관리실,542.0,563.0,7.5,42.0,2.7,15.0,21.0
10144,20242,양천구,기타오락장,30.0,34.0,5.9,2.0,8.8,3.0,4.0
10225,20242,서초구,DVD방,1.0,1.0,0.0,0.0,0.0,0.0,0.0
10210,20242,동작구,철물점,64.0,64.0,0.0,0.0,1.6,1.0,0.0
10211,20242,동작구,조명용품,119.0,119.0,0.0,0.0,1.7,2.0,0.0
10212,20242,관악구,제과점,191.0,251.0,2.8,7.0,4.0,10.0,60.0
10197,20242,영등포구,화초,278.0,281.0,2.1,6.0,1.4,4.0,3.0
10198,20242,동작구,일식음식점,146.0,182.0,7.1,13.0,6.0,11.0,36.0
10199,20242,동작구,호프-간이주점,464.0,520.0,1.0,5.0,3.8,20.0,56.0
10216,20242,관악구,문구,95.0,108.0,5.6,6.0,4.6,5.0,13.0
10169,20242,구로구,자동차미용,76.0,81.0,3.7,3.0,3.7,3.0,5.0
10218,20242,영등포구,분식전문점,405.0,546.0,4.8,26.0,3.5,19.0,141.0
10219,20242,관악구,모터사이클및부품,33.0,33.0,0.0,0.0,6.1,2.0,0.0
10220,20242,서초구,법무사사무소,792.0,792.0,0.0,0.0,0.5,4.0,0.0
10205,20242,동작구,주류도매,11.0,11.0,0.0,0.0,0.0,0.0,0.0
10206,20242,동작구,수산물판매,1151.0,1151.0,0.0,0.0,1.7,19.0,0.0
10207,20242,동작구,반찬가게,193.0,202.0,8.9,18.0,2.0,4.0,9.0
10224,20242,서초구,고시원,8.0,8.0,0.0,0.0,0.0,0.0,0.0
10113,20242,서대문구,PC방,45.0,51.0,0.0,0.0,3.9,2.0,6.0
10162,20242,강서구,중고가구,2.0,2.0,0.0,0.0,0.0,0.0,0.0
10163,20242,강서구,주유소,73.0,73.0,2.7,2.0,0.0,0.0,0.0
10164,20242,구로구,중식음식점,416.0,444.0,6.1,27.0,7.7,34.0,28.0
10149,20242,양천구,자동차미용,78.0,84.0,7.1,6.0,2.4,2.0,6.0
