자치구_encoded,업종_encoded,상권변화_encoded,당월_매출_금액_lag1,당월_매출_금액_lag2,당월_매출_건수_lag1,당월_매출_건수_lag2,점포_수_lag1,점포_수_lag2,유사_업종_점포_수_lag1,유사_업종_점포_수_lag2,프랜차이즈_점포_수_lag1,프랜차이즈_점포_수_lag2,개업_률_lag1,개업_률_lag2,개업_점포_수_lag1,개업_점포_수_lag2,전체임대료_lag1,전체임대료_lag2,총_유동인구_수_lag1,총_유동인구_수_lag2,총_상주인구_수_lag1,총_상주인구_수_lag2,총_직장인구_수_lag1,총_직장인구_수_lag2,토요일_매출_금액_lag1,토요일_매출_금액_lag2,일요일_매출_금액_lag1,일요일_매출_금액_lag2,시간대_21_24_매출_금액_lag1,시간대_21_24_매출_금액_lag2,연령대_10_매출_금액_lag1,연령대_10_매출_금액_lag2,연령대_20_매출_금액_lag1,연령대_20_매출_금액_lag2,연령대_30_매출_금액_lag1,연령대_30_매출_금액_lag2,연령대_40_매출_금액_lag1,연령대_40_매출_금액_lag2,연령대_50_매출_금액_lag1,연령대_50_매출_금액_lag2,연령대_60_이상_매출_금액_lag1,연령대_60_이상_매출_금액_lag2,매출_변화율,매출건수_변화율,점포수_변화율,개업률_변화,매출_감소,연속_매출_감소,매출_3분기_평균,매출_추세_대비,점포당_매출,건당_매출,임대료_부담률,유동인구_전환율,최대_연령대_비중,주말_매출_비율,야간_매출_비율,프랜차이즈_비율,경쟁_밀도,점포_포화도,상권_매출_평균,업종_매출_평균,상권_대비_매출,업종_대비_매출,위험_점수
13,45,0,5419705605.0,5065293635.0,643523.0,579690.0,147.0,146.0,210.0,209.0,63.0,63.0,3.8,3.3,8.0,7.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,824396584.0,743699285.0,643712702.0,635329200.0,464938650.0,411982737.0,65628564.0,39704893.0,941234937.0,871630023.0,1039111563.0,1013085186.0,1218489139.0,1173256723.0,1118925081.0,1048026326.0,705756690.0,609101028.0,0.06996869193942225,0.11011556156642073,0.006802721088435374,0.5,0,0.0,4588884514.333333,1.1810507732087296,36619632.466216214,8421.9168282768,1.9174104195799005e-05,0.006825547934820521,0.22482570596658347,0.270883585332513,0.08578669835595494,0.42567567567567566,1.4189189189189189,4.2283298097251585,6866325505.375363,9923108110.926014,0.789316731338737,0.5461701660275541,0
13,46,0,3212781643.0,2322208777.0,68697.0,73574.0,105.0,103.0,105.0,103.0,0.0,0.0,1.9,0.0,2.0,0.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,545713266.0,562546199.0,211020.0,1645956.0,0.0,0.0,22318.0,0.0,126147382.0,83277232.0,121622034.0,66087951.0,793113695.0,227250446.0,1156934672.0,1114390101.0,583319843.0,562098925.0,0.3835024974657985,-0.06628610261637785,0.019230769230769232,1.9,0,1.0,2681704331.0,1.1980372350011925,30309260.78301887,46766.74201577921,3.2345179820754725e-05,0.0007286369974008161,0.36010373570224496,0.16992262359925261,0.0,0.0,0.9905660377358491,3.020235578375113,6866325505.375363,17011976785.157518,0.4679040689255034,0.1888541045749727,1
13,47,0,7876027073.0,7300631115.0,301678.0,280830.0,162.0,156.0,178.0,171.0,16.0,15.0,7.3,5.8,13.0,10.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,1396161378.0,1295151345.0,1243845474.0,1205715560.0,595754353.0,356198974.0,111280467.0,88061764.0,1822703901.0,1706140810.0,1432305748.0,1274457670.0,1286603873.0,1222421269.0,1379461857.0,1365715286.0,837071857.0,754230165.0,0.0788145502570274,0.07423681858484284,0.03821656050955414,1.5,0,1.0,6943770596.666667,1.1342579600263005,48319184.496932514,26107.309666897596,1.3194215690681107e-05,0.0031997576619340494,0.2314242807794594,0.33519524846671445,0.07564148109224744,0.09815950920245399,1.0920245398773005,4.659792035207317,6866325505.375363,9285546587.436754,1.1470512234945942,0.848202849233235,0
13,48,0,1228624195.0,1043563383.0,53916.0,49016.0,80.0,81.0,80.0,81.0,0.0,0.0,1.3,3.7,1.0,3.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,172312120.0,152075903.0,60513294.0,65776441.0,205412.0,3672028.0,2200499.0,496534.0,62984997.0,45159576.0,135125671.0,119159660.0,163869493.0,109688259.0,243158172.0,168944317.0,261386079.0,193184127.0,0.17733547845523104,0.09996531815492585,-0.012195121951219513,-2.4000000000000004,0,1.0,935752914.3333334,1.312979286377473,15168199.938271604,22787.324869707143,8.458078584022938e-05,0.0005718618331493719,0.21274697328197498,0.18950091879844436,0.00016718863316281295,0.0,0.9876543209876543,2.3011318692381817,6866325505.375363,2293720046.152745,0.17893474375184018,0.5356469707474213,1
13,49,0,20031190976.0,21938169699.0,898311.0,844473.0,201.0,197.0,201.0,197.0,0.0,0.0,3.5,3.6,7.0,7.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,3229424779.0,3481205514.0,1415509646.0,1473452959.0,166143637.0,173322299.0,2315132.0,4585774.0,321249872.0,344983248.0,1219589032.0,1819889696.0,2578542054.0,2729002132.0,6826643591.0,6982961372.0,8341464373.0,8951894075.0,-0.08692515141771376,0.06375329495046621,0.020202020202020204,-0.10000000000000009,1,0.0,15580280674.333334,1.2856758741011218,99164311.76237623,22298.701315355913,5.1878093578818965e-06,0.009527965264452952,0.41642378541434444,0.23188508513215,0.008294246567304344,0.0,0.995049504950495,5.781593821460931,6866325505.375363,28796385120.038185,2.917308676584164,0.6956147756672947,0
13,50,0,11523529282.0,11411557976.0,87846.0,88275.0,127.0,127.0,127.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,1543913807.0,1338407538.0,4429865.0,3931439.0,8812423.0,16963855.0,26337703.0,7190960.0,1089635837.0,993316197.0,1825903215.0,1471366457.0,2512782776.0,2600061087.0,2832276889.0,3210473080.0,3150092954.0,3101592943.0,0.0098120963172319,-0.004859758031628076,0.0,0.0,0,1.0,11247043659.333334,1.0245829597551745,90027572.515625,131177.2659510285,9.01789698693301e-06,0.0009317414977898902,0.27336182142107723,0.1343636688010315,0.0007647329896579914,0.0,0.9921875,3.653046842415613,6866325505.375363,23567951067.603817,1.6782672582737939,0.4889491347150299,0
13,51,0,3021597315.0,2868889220.0,141952.0,137602.0,77.0,79.0,217.0,220.0,140.0,141.0,5.5,4.5,12.0,10.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,508634728.0,495886653.0,411581179.0,393110439.0,1012517306.0,814322572.0,47847477.0,41127682.0,743536656.0,651889592.0,482048672.0,497150362.0,692483083.0,673465678.0,635399034.0,614424082.0,286177044.0,277827671.0,0.05322899674277803,0.03161268286301897,-0.025,1.0,0,1.0,2212998061.0,1.3653863357969809,38738427.115384616,21285.899663973287,3.439174354892762e-05,0.001505618572208985,0.2460740390729153,0.30454617566916053,0.33509339601226995,1.794871794871795,2.782051282051282,2.2148394241417497,6866325505.375363,4855396119.582339,0.4400603076848681,0.6223173640130519,1
13,52,0,17118565317.0,12810014646.0,2383942.0,1735872.0,612.0,590.0,789.0,765.0,177.0,175.0,6.8,4.1,54.0,31.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,2507740224.0,1797531455.0,2050134739.0,1526460268.0,598311098.0,368080993.0,400611283.0,216376901.0,6890066740.0,5184758738.0,3711506388.0,2743495520.0,2364839721.0,1725421222.0,2059043408.0,1557831893.0,679635309.0,520364240.0,0.3363423688207122,0.37333952426243167,0.03722504230118443,2.7,0,1.0,10671045704.333334,1.6042069155831868,27925881.430668842,7180.77794519416,6.0704853514056615e-06,0.025285359489609388,0.4024908987410974,0.26625332662705326,0.03495100710168053,0.28874388254486133,1.2871125611745513,17.60365879967209,6866325505.375363,23408093916.050117,2.4931188160400293,0.7313096648390959,0
13,53,0,415525266.0,648699258.0,1046.0,2304.0,108.0,107.0,108.0,107.0,0.0,0.0,2.8,1.9,3.0,2.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,0.0,64476535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7399619.0,0.0,0.0,0.0,4463404.0,43645100.0,3376315.0,9571425.0,8823104.0,-0.35944852528342414,-0.545770065075922,0.009259259259259259,0.8999999999999999,1,1.0,1088019884.6666667,0.3819096245151747,3812158.4036697247,396872.2693409742,0.0002500882816351093,1.109443351647457e-05,0.1050359712541861,0.0,0.0,0.0,0.9908256880733946,3.106528023471545,6866325505.375363,40603326347.81481,0.06051639492100775,0.010233774012264612,3
13,54,0,5878917784.0,5460554448.0,604412.0,535212.0,94.0,93.0,233.0,227.0,139.0,134.0,6.9,3.1,16.0,7.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,844554227.0,806485578.0,784087671.0,727113607.0,525047613.0,502921079.0,125764152.0,91306769.0,1951670228.0,1733862309.0,1145737265.0,1062209124.0,950203113.0,908408162.0,882628755.0,869190368.0,349176010.0,323859440.0,0.0766155414999324,0.1292943183368117,0.010638297872340425,3.8000000000000003,0,1.0,5203650917.333333,1.1297679026253642,61883345.094736844,9726.656746297647,1.7676382592923097e-05,0.006410715822714559,0.33197780601383253,0.2770309022105163,0.08931024930126659,1.4631578947368422,2.4526315789473685,2.703829946354863,6866325505.375363,6394579501.188544,0.8561956141667683,0.9193595578861661,0
13,55,0,27220971105.0,24046715073.0,4158369.0,3477172.0,61.0,62.0,297.0,296.0,236.0,234.0,4.0,4.4,12.0,13.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,4130123927.0,3708352943.0,3583521151.0,3260844059.0,6382324125.0,5332386248.0,471049305.0,315779823.0,8235598500.0,7287899068.0,6252857844.0,5693650808.0,5500437682.0,4886039530.0,4438840283.0,3926759182.0,2045665978.0,1737623226.0,0.13200372783690928,0.1959054093655967,-0.015873015873015872,-0.40000000000000036,0,2.0,25310345078.0,1.0754879485062907,439047921.0483871,6546.067594995155,3.817571371547967e-06,0.04410587801861266,0.30254609462425547,0.2833714141924853,0.23446349875420935,3.806451612903226,4.790322580645161,1.7546130502941133,6866325505.375363,43054897619.27446,3.964416059175378,0.6322386675977532,3
13,56,0,661012756.0,821696001.0,2707.0,3028.0,126.0,127.0,127.0,127.0,1.0,0.0,1.6,0.8,2.0,1.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,74278869.0,233896393.0,47839968.0,20270040.0,59332061.0,28183938.0,199483.0,1558069.0,202052298.0,205881057.0,200898389.0,269532232.0,65022813.0,102225353.0,146406252.0,217993808.0,46234037.0,23574606.0,-0.1955507202285256,-0.1059755694948828,-0.0078125,0.8,1,1.0,492820457.3333333,1.3412851370567596,5204824.8503937,244096.29098966028,0.00015721027907484092,2.8711884827052258e-05,0.30567079963329663,0.18474505326377536,0.08975932820007587,0.007874015748031496,1.0,3.6242826940501356,6866325505.375363,1872976587.5608592,0.09626877656561017,0.35292099219878825,3
13,57,0,73740760227.0,60867834326.0,2843461.0,2374544.0,1428.0,1427.0,1631.0,1626.0,203.0,199.0,4.2,3.4,68.0,55.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,11067763985.0,8856842710.0,8932132110.0,7004817695.0,9071488496.0,5392711411.0,571752642.0,344369568.0,12128960587.0,9933706212.0,11598590713.0,9605711145.0,13226019811.0,11111889343.0,15402018259.0,12676595275.0,11006628514.0,8826903394.0,0.21148979659507575,0.19747656919536163,0.0007002801120448179,0.8000000000000003,0,1.0,59108301318.666664,1.2475533652743425,51603051.24352694,25933.443185454915,1.4092341830853737e-06,0.030159262926566253,0.20886709346877225,0.2712190114824158,0.12301864624058322,0.14205738278516444,1.1413575927221833,41.07520386590154,6866325505.375363,119044207092.01193,10.739479239446473,0.6194401393205524,0
13,58,0,4295878770.0,4019538818.0,160392.0,137223.0,91.0,93.0,91.0,93.0,0.0,0.0,1.1,0.0,1.0,0.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,852920327.0,1014627374.0,83611535.0,97277577.0,13380497.0,47541092.0,2714577.0,1953770.0,276604395.0,157727781.0,603694801.0,504342963.0,880093437.0,1015033458.0,1241298573.0,1211694226.0,1273386542.0,1109541952.0,0.06874916860953445,0.16884072756952137,-0.02127659574468085,1.1,0,1.0,4122720494.0,1.0420009736798808,46694334.45652174,26783.455450050813,2.4190161207880138e-05,0.001701203040702093,0.2964205020393486,0.2180070509256929,0.003114728723335289,0.0,0.9891304347826086,2.6175375012584317,6866325505.375363,9224968582.417662,0.6256444973386841,0.46567950136134395,1
13,59,0,1475646585.0,1547504306.0,67999.0,56876.0,165.0,165.0,166.0,166.0,1.0,1.0,1.8,1.8,3.0,3.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,173910162.0,68251938.0,12153073.0,191879582.0,0.0,156090.0,5920968.0,11681666.0,179730368.0,114954793.0,375095357.0,170324457.0,166138796.0,402467374.0,192280135.0,325692522.0,464124288.0,519886053.0,-0.0464345854644526,0.19556235385129314,0.0,0.0,1,1.0,1515901873.3333333,0.9734446602283958,8889437.259036144,21700.68507352941,7.042201092450465e-05,0.000721233637367834,0.31452265901830234,0.12608929317171882,0.0,0.006024096385542169,1.0,4.746084480303749,6866325505.375363,3666059687.9116945,0.21491066562892575,0.4025157008390281,1
13,60,0,11752881455.0,9580109881.0,313773.0,248253.0,553.0,560.0,607.0,613.0,54.0,53.0,2.8,1.0,17.0,6.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,2166809288.0,1857848026.0,1240400001.0,1115779863.0,6836485713.0,4274869861.0,340226689.0,295180565.0,4540802968.0,3653866778.0,2049613714.0,1634002331.0,1667744560.0,1300442431.0,1734983703.0,1376243324.0,628208899.0,686725527.0,0.22680027690312873,0.2639232399075141,-0.012477718360071301,1.7999999999999998,0,1.0,7467995983.666667,1.5737664400370708,21214587.463898916,37456.51792372854,8.841916800492232e-06,0.0033280436785514105,0.3863565700887641,0.2899041653534738,0.5816859243066631,0.09747292418772563,1.095667870036101,15.90657404610893,6866325505.375363,21022595488.90931,1.7116697197194457,0.5590594872379719,0
13,61,0,5432147803.0,4555894631.0,67257.0,63797.0,279.0,288.0,314.0,324.0,35.0,36.0,0.0,2.2,0.0,7.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,404026987.0,382550297.0,176343564.0,185335074.0,83840428.0,69288677.0,17970177.0,11028848.0,542154724.0,632215615.0,1267371881.0,1415080620.0,1669619325.0,984519420.0,1291719405.0,876687121.0,518825532.0,478793697.0,0.19233394158093864,0.05423367503683501,-0.031141868512110725,-2.2,0,2.0,14002867738.0,0.3879310941337171,19400527.867857143,80765.82418448363,1.913018639210797e-05,0.0007133635898829161,0.30735896467518137,0.10683997783945423,0.015434121276719222,0.125,1.1214285714285714,8.025197393968158,6866325505.375363,23084429263.99284,0.7911287919508427,0.23531653049086917,3
13,62,0,3226363565.0,2786375742.0,86746.0,46744.0,154.0,154.0,158.0,158.0,4.0,4.0,1.9,2.5,3.0,4.0,103918.0,74020.0,94281514.0,93719989.0,311889.0,311889.0,35765.0,35765.0,640901949.0,443642478.0,281858006.0,182686377.0,25506254.0,2692796.0,23591172.0,8072326.0,457667695.0,255343899.0,537594969.0,469125187.0,563568738.0,418775289.0,486880674.0,255429126.0,337319448.0,297127679.0,0.15790685233509802,0.8557492779976468,0.0,-0.6000000000000001,0,1.0,2153032826.3333335,1.4985203774138707,20815248.80645161,37192.79704197263,3.220901732684642e-05,0.0009200743114914944,0.17467614125667325,0.28600619121918264,0.007905573404308645,0.025806451612903226,1.0193548387096774,4.4296788482834994,6866325505.375363,2659639640.443914,0.46988211700775484,1.2130829736198445,1
14,0,0,4242873083.0,3778278373.0,914240.0,803221.0,45.0,45.0,53.0,54.0,8.0,9.0,3.8,1.9,2.0,1.0,127061.0,107901.0,99514660.0,98889995.0,424688.0,424688.0,435344.0,435344.0,761268787.0,633690326.0,729560530.0,638567565.0,947728785.0,496229006.0,396315618.0,324468237.0,2324500393.0,2141959761.0,811451520.0,680036155.0,281861741.0,268159836.0,366686776.0,304448299.0,62057035.0,59206085.0,0.12296465850612838,0.13821708070745073,0.0,1.9,0,0.0,2433954769.3333335,1.7432012848862153,92236371.36956522,4640.8694020504445,2.994692452129921e-05,0.009186988035863378,0.547859987084167,0.35137259293047474,0.22336958146919672,0.17391304347826086,1.1521739130434783,0.5232357363031419,21237296804.082935,3917574096.357143,0.19978404605545233,1.0830358220568972,1
