iter	Accuracy	Logloss
439	0.9713539508	0.1140896837
440	0.9713332228	0.1139133326
441	0.9713539508	0.1136964108
442	0.971789238	0.1133238349
443	0.9716026863	0.1131455895
444	0.971789238	0.1129295354
445	0.9720172457	0.112718287
446	0.9721623414	0.1123752836
447	0.9721830694	0.1121246181
448	0.9722659813	0.1119179317
449	0.9724732609	0.1117097257
450	0.9727219965	0.1114231571
451	0.9727219965	0.1112127345
452	0.9728463643	0.1108797849
453	0.9730950999	0.1106291088
454	0.9731365558	0.1103812594
455	0.9734060194	0.1100917539
456	0.973634027	0.1097902551
457	0.973654755	0.1096083126
458	0.9737376669	0.1094387756
459	0.9739242186	0.1092366417
460	0.9739864025	0.1089860194
461	0.9737583948	0.1087488277
462	0.9739034906	0.1084807501
463	0.9741729541	0.108313462
464	0.9741936821	0.1080450021
465	0.9744838736	0.1078362669
466	0.9747326092	0.1075714538
467	0.9748155211	0.1072989221
468	0.974898433	0.1071432362
469	0.974877705	0.1070310636
470	0.9750642567	0.1066225165
471	0.9750642567	0.1064945155
472	0.9753544482	0.1063233291
473	0.975520272	0.1060130002
474	0.9757482796	0.1058507423
475	0.9757275516	0.1056155128
476	0.9759970152	0.1051996295
477	0.9759762872	0.1051162504
478	0.9761421109	0.1049151381
479	0.9763079347	0.1047841417
480	0.9765359423	0.1045660281
481	0.976722494	0.1043445318
482	0.9768054059	0.104237444
483	0.9769712296	0.1039953059
484	0.9768883177	0.1038600099
485	0.9770334135	0.103736408
486	0.977302877	0.1034827441
487	0.9771577813	0.1032877101
488	0.9773650609	0.1030493172
489	0.9773857889	0.1027927021
490	0.9774687008	0.1025617396
491	0.9774687008	0.1024448465
492	0.9775930686	0.1023061344
493	0.9776552525	0.1022202124
494	0.9776552525	0.1019905668
495	0.9775930686	0.1018496846
496	0.9776759804	0.1015958102
497	0.9778210762	0.1013843913
498	0.9781112677	0.1011764234
499	0.9781319957	0.1010179397
