iter	Passed	Remaining
403	9330	2217
404	9355	2194
405	9376	2171
406	9397	2147
407	9419	2123
408	9441	2100
409	9465	2077
410	9487	2054
411	9510	2031
412	9554	2012
413	9621	1998
414	9670	1980
415	9712	1961
416	9756	1941
417	9796	1921
418	9816	1897
419	9840	1874
420	9862	1850
421	9886	1827
422	9907	1803
423	9926	1779
424	9946	1755
425	9966	1731
426	9988	1707
427	10010	1684
428	10032	1660
429	10058	1637
430	10082	1614
431	10107	1590
432	10129	1567
433	10151	1543
434	10174	1520
435	10198	1497
436	10220	1473
437	10244	1450
438	10265	1426
439	10287	1402
440	10310	1379
441	10333	1355
442	10358	1332
443	10381	1309
444	10403	1285
445	10424	1262
446	10447	1238
447	10471	1215
448	10494	1192
449	10523	1169
450	10545	1145
451	10566	1122
452	10591	1098
453	10613	1075
454	10635	1051
455	10658	1028
456	10681	1005
457	10706	981
458	10727	958
459	10753	935
460	10775	911
461	10799	888
462	10823	864
463	10845	841
464	10868	818
465	10891	794
466	10912	771
467	10937	747
468	10956	724
469	10976	700
470	11001	677
471	11025	654
472	11047	630
473	11071	607
474	11093	583
475	11117	560
476	11140	537
477	11162	513
478	11187	490
479	11208	467
480	11232	443
481	11260	420
482	11285	397
483	11313	373
484	11337	350
485	11362	327
486	11388	303
487	11411	280
488	11436	257
489	11463	233
490	11487	210
491	11510	187
492	11533	163
493	11554	140
494	11581	116
495	11605	93
496	11631	70
497	11654	46
498	11679	23
499	11703	0
